Gender Age MaritalStatus lat1 lon2 lat2 lon2
female 25 single 39.994622 116.326757 40.007143 116.324088
male 37 single 39.99564 116.326413 40.009813 116.312616
male 24 divorced 39.926974 116.336419 39.922122 116.346384
female 41 single 39.97334 116.346788 39.964059 116.347008
male 31 single 39.949643 116.317514 39.939805 116.307322
female 31 divorced 39.955344 116.449808 39.963385 116.455111
male 33 single 40.03414 116.313074 40.042061 116.306781
male 42 married 39.974698 116.33375 39.967456 116.347453
male 28 married 39.971573 116.333311 39.966306 116.350351
male 26 married 39.973478 116.331242 39.982497 116.332388
female 32 married 31.842892 117.268123 31.852812 117.276198
female 41 divorced 40.024083 116.346126 40.029466 116.33661
female 34 married 39.97667 116.310867 39.990598 116.298347
male 24 divorced 39.973858 116.314348 39.974853 116.326023
male 14 divorced 39.975323 116.330055 39.983795 116.293723
female 29 divorced 39.973335 116.333372 39.991332 116.331763
female 38 single 39.973335 116.333372 39.991332 116.331763
male 31 single 39.896378 116.357542 39.896805 116.345357
male 44 married 39.97516 116.325392 39.985314 116.307406
male 34 married 39.998623 116.312432 39.989843 116.309818
male 40 married 39.966539 116.360406 39.966287 116.372084
female 31 single 39.977877 116.332008 39.977877 116.332008
male 35 single 39.973858 116.314348 39.974853 116.326023
female 30 single 39.975447 116.330813 39.965943 116.326265
male 29 divorced 39.966657 116.347354 39.957165 116.348319
male 19 single 39.976975 116.330749 39.98496 116.3254
female 36 single 39.975445 116.390073 39.976042 116.401742
female 35 single 41.925817 117.76755 41.929883 117.7555
female 31 divorced 40.079193 116.321662 40.069445 116.31353
male 34 married 39.96782 116.410675 39.96451 116.435647
male 26 married 39.975705 116.330987 39.984125 116.326925
male 38 married 39.975178 116.329788 39.97524 116.316065
female 28 married 32.516877 120.141448 32.509628 120.147845
female 25 single 39.971777 116.313195 39.975147 116.333653
male 35 divorced 39.990963 116.297588 39.98229 116.309533
female 42 single 39.986748 116.407598 39.981043 116.4215
male 27 single 39.988933 116.309625 39.968817 116.322213
male 34 single 39.979611 116.322936 39.984763 116.332753
male 24 married 39.954025 116.211788 39.945649 116.207415
male 26 divorced 42.519557 117.232542 42.528362 117.229892
male 30 divorced 39.982061 116.329442 39.988117 116.320721
female 25 divorced 39.998623 116.312432 39.989843 116.309818
female 25 married 39.984731 116.332012 39.993692 116.331459
male 32 single 39.984965 116.31968 39.985352 116.343133
male 37 divorced 29.857771 121.597472 29.848716 121.59625
female 47 married 24.633717 118.205984 24.642187 118.209558
female 37 divorced 39.974983 116.314617 39.97525 116.32925
male 31 single 39.995033 116.326767 40.003267 116.321717
female 36 married 39.972037 116.30071 39.96298 116.301466
female 31 single 39.993267 116.326583 40.00235 116.3248
female 39 divorced 39.984833 116.318667 39.97575 116.319017
female 33 married 39.961601 116.452909 39.968563 116.460643
female 35 married 39.968308 116.313866 39.959456 116.316524
male 43 single 39.96635 116.32775 39.954417 116.340517
male 34 divorced 39.97481 116.341592 39.982483 116.347779
male 23 single 30.62872 114.276987 30.626283 114.266943
female 34 single 39.96318 116.437993 39.968327 116.42836
female 46 divorced 39.987 116.408833 39.984567 116.436467
female 39 divorced 39.904976 116.392597 39.905831 116.380852
male 31 single 40.000651 116.320109 39.992739 116.325665
male 30 married 39.975417 116.342767 39.979133 116.353433
male 35 single 39.877199 116.454909 39.868142 116.454602
male 41 single 39.973187 116.375027 39.982128 116.373508
male 28 single 39.975383 116.359183 39.975217 116.373083
male 31 divorced 39.98438 116.33211 39.992285 116.326448
male 30 single 39.976933 116.328257 39.979225 116.305437
male 41 single 13.4186 103.859457 13.427601 103.859537
female 23 married 39.975233 116.329433 39.933933 116.319467
female 30 married 39.099 117.189617 39.110217 117.192117
female 30 divorced 39.969417 116.300833 39.979583 116.300617
male 26 single 39.991843 116.331465 39.982668 116.332153
female 30 divorced 40.028029 116.40383 40.037035 116.405462
male 39 divorced 39.993471 116.331717 40.002572 116.331268
male 41 divorced 39.9606 116.331433 39.9729 116.323633
male 26 single 62.30606 -150.101472 62.315033 -150.10567
female 26 divorced 39.959473 116.30233 39.965302 116.312772
female 25 married 39.970033 116.304133 39.979867 116.299733
male 37 married 39.988867 116.293333 39.99405 116.21805
male 45 single 40.0007 116.321733 40.010083 116.32255
female 31 married 39.976374 116.331658 39.968168 116.338212
male 29 divorced 39.975992 116.331816 39.975992 116.331816
female 28 married 39.11965 116.369462 39.110271 116.370024
male 28 divorced 39.989967 116.30485 39.980967 116.303283
male 35 divorced 39.999007 116.326802 40.007066 116.321276
female 23 single 39.974909 116.340626 39.986164 116.346904
male 27 married 39.981166 116.331096 39.985365 116.346247
male 38 married 39.998456 116.331362 40.000574 116.342729
male 20 married 39.94773 116.350383 39.95665 116.349183
female 34 single 39.982061 116.329442 39.988117 116.320721
